Ronde;Datum;Punten ;Beurten ;HR;Gem;Uitslag;Discipline;Competitie
1;do 5 sep 2024;30;33;6;0,909;W;3-banden - Match biljart;NIDM
2;wo 11 sep 2024;26;31;6;0,839;L;3-banden - Match biljart;NIDM
3;wo 18 sep 2024;30;46;5;0,652;W;3-banden - Match biljart;NIDM
4;di 1 okt 2024;30;42;5;0,714;W;3-banden - Match biljart;NIDM
5;ma 7 okt 2024;30;37;5;0,811;W;3-banden - Match biljart;NIDM
6;do 17 okt 2024;30;42;3;0,714;W;3-banden - Match biljart;NIDM
7;di 22 okt 2024;30;44;3;0,682;W;3-banden - Match biljart;NIDM
8;do 14 nov 2024;20;34;3;0,588;L;3-banden - Match biljart;NIDM
9;ma 18 nov 2024;30;21;11;1,429;W;3-banden - Match biljart;NIDM
10;di 26 nov 2024;26;23;4;1,130;L;3-banden - Match biljart;NIDM
11;do 12 dec 2024;30;38;4;0,789;W;3-banden - Match biljart;NIDM
12;di 14 jan 2025;29;37;3;0,784;L;3-banden - Match biljart;NIDM
13;do 23 jan 2025;27;42;9;0,643;L;3-banden - Match biljart;NIDM
14;za 25 jan 2025;17;19;4;0,895;L;3-banden - Match biljart;NIDM
15;do 6 feb 2025;30;36;4;0,833;W;3-banden - Match biljart;NIDM
16;do 13 feb 2025;23;36;3;0,639;L;3-banden - Match biljart;NIDM
17;di 18 feb 2025;30;35;4;0,857;W;3-banden - Match biljart;NIDM
18;do 27 feb 2025;21;28;5;0,750;L;3-banden - Match biljart;NIDM
19;wo 12 mrt 2025;30;30;5;1,000;W;3-banden - Match biljart;NIDM
20;do 20 mrt 2025;28;28;4;1,000;L;3-banden - Match biljart;NIDM
21;do 3 apr 2025;;;;;;3-banden - Match biljart;NIDM
22;do 17 apr 2025;30;41;4;0,732;W;3-banden - Match biljart;NIDM
