Ronde;Datum;Punten ;Beurten ;HR;Gem;Uitslag;Discipline;Competitie
1;do 7 sep 2023;30;30;5;1,000;W;3-banden - Match biljart;NIDM
2;do 14 sep 2023;30;20;6;1,500;W;3-banden - Match biljart;NIDM
3;di 19 sep 2023;30;26;6;1,154;W;3-banden - Match biljart;NIDM
5;do 12 okt 2023;30;14;7;2,143;W;3-banden - Match biljart;NIDM
6;wo 18 okt 2023;30;49;5;0,612;W;3-banden - Match biljart;NIDM
7;do 2 nov 2023;24;36;4;0,667;L;3-banden - Match biljart;NIDM
8;wo 8 nov 2023;30;47;3;0,638;W;3-banden - Match biljart;NIDM
9;do 16 nov 2023;21;34;4;0,618;L;3-banden - Match biljart;NIDM
10;ma 20 nov 2023;30;29;6;1,034;W;3-banden - Match biljart;NIDM
11;do 30 nov 2023;30;25;6;1,200;W;3-banden - Match biljart;NIDM
12;za 9 dec 2023;30;37;7;0,811;W;3-banden - Match biljart;NIDM
13;wo 24 jan 2024;7;24;2;0,292;L;3-banden - Match biljart;NIDM
14;do 1 feb 2024;30;44;3;0,682;W;3-banden - Match biljart;NIDM
16;ma 12 feb 2024;30;36;5;0,833;W;3-banden - Match biljart;NIDM
17;do 22 feb 2024;27;28;5;0,964;L;3-banden - Match biljart;NIDM
18;do 7 mrt 2024;30;29;5;1,034;W;3-banden - Match biljart;NIDM
19;do 21 mrt 2024;30;39;4;0,769;W;3-banden - Match biljart;NIDM
20;za 23 mrt 2024;30;28;5;1,071;W;3-banden - Match biljart;NIDM
21;wo 17 apr 2024;30;43;4;0,698;W;3-banden - Match biljart;NIDM
22;do 2 mei 2024;30;43;7;0,698;W;3-banden - Match biljart;NIDM
